observation_date,MEXPROMANMISMEI
1993-01-01,60.062779999999997
1993-02-01,61.359200000000001
1993-03-01,62.965000000000003
1993-04-01,62.589730000000003
1993-05-01,61.895569999999992
1993-06-01,61.594310000000000
1993-07-01,62.777889999999999
1993-08-01,62.997929999999997
1993-09-01,62.558700000000002
1993-10-01,62.692419999999998
1993-11-01,61.886270000000003
1993-12-01,62.018560000000001
1994-01-01,63.327030000000008
1994-02-01,60.548559999999995
1994-03-01,62.270829999999997
1994-04-01,67.811300000000003
1994-05-01,63.615540000000003
1994-06-01,63.937319999999993
1994-07-01,63.845350000000003
1994-08-01,65.125880000000009
1994-09-01,65.937950000000001
1994-10-01,64.804380000000009
1994-11-01,65.404480000000007
1994-12-01,63.806640000000002
1995-01-01,69.061180000000007
1995-02-01,62.347530000000006
1995-03-01,61.428809999999999
1995-04-01,56.951850000000000
1995-05-01,57.620730000000002
1995-06-01,57.339830000000006
1995-07-01,58.230440000000002
1995-08-01,58.012809999999995
1995-09-01,58.894329999999997
1995-10-01,59.927609999999994
1995-11-01,60.772889999999997
1995-12-01,62.583109999999998
1996-01-01,62.607559999999999
1996-02-01,62.367459999999994
1996-03-01,64.458449999999999
1996-04-01,63.096910000000001
1996-05-01,64.610340000000008
1996-06-01,65.875690000000006
1996-07-01,64.887990000000002
1996-08-01,65.568150000000003
1996-09-01,65.839939999999999
1996-10-01,67.284739999999999
1996-11-01,68.903379999999999
1996-12-01,68.505740000000003
1997-01-01,67.821460000000002
1997-02-01,68.819999999999993
1997-03-01,69.626109999999997
1997-04-01,70.690629999999999
1997-05-01,71.017899999999997
1997-06-01,72.333869999999990
1997-07-01,73.387330000000006
1997-08-01,73.314599999999999
1997-09-01,73.750730000000004
1997-10-01,75.323499999999996
1997-11-01,76.550219999999996
1997-12-01,76.215170000000001
1998-01-01,78.336169999999996
1998-02-01,78.927809999999994
1998-03-01,79.094859999999997
1998-04-01,79.513140000000007
1998-05-01,79.572080000000000
1998-06-01,78.853290000000001
1998-07-01,79.137569999999997
1998-08-01,79.790930000000003
1998-09-01,79.351419999999990
1998-10-01,80.067380000000000
1998-11-01,79.604419999999990
1998-12-01,79.655230000000003
1999-01-01,79.096149999999994
1999-02-01,79.505969999999991
1999-03-01,79.445329999999998
1999-04-01,82.021330000000006
1999-05-01,80.595100000000002
1999-06-01,80.370310000000003
1999-07-01,81.277680000000004
1999-08-01,81.469200000000001
1999-09-01,82.561199999999999
1999-10-01,80.828810000000004
1999-11-01,80.905839999999998
1999-12-01,83.129300000000001
2000-01-01,84.691640000000007
2000-02-01,85.452380000000005
2000-03-01,86.824680000000001
2000-04-01,85.634550000000004
2000-05-01,86.354550000000003
2000-06-01,87.771109999999993
2000-07-01,92.439660000000003
2000-08-01,87.483859999999979
2000-09-01,87.085480000000004
2000-10-01,87.808850000000007
2000-11-01,86.420349999999999
2000-12-01,84.319919999999996
2001-01-01,89.202159999999978
2001-02-01,87.207800000000006
2001-03-01,85.532040000000009
2001-04-01,85.862880000000004
2001-05-01,86.269730000000010
2001-06-01,85.128109999999978
2001-07-01,84.937230000000000
2001-08-01,84.157139999999998
2001-09-01,84.753720000000001
2001-10-01,82.970889999999997
2001-11-01,82.883799999999994
2001-12-01,81.923259999999999
2002-01-01,82.723249999999993
2002-02-01,80.084800000000001
2002-03-01,82.319649999999996
2002-04-01,82.979200000000006
2002-05-01,81.389820000000000
2002-06-01,82.104100000000003
2002-07-01,82.471850000000003
2002-08-01,83.040269999999978
2002-09-01,82.727490000000003
2002-10-01,83.400520000000000
2002-11-01,84.392180000000010
2002-12-01,82.235259999999997
2003-01-01,80.579499999999996
2003-02-01,82.154580000000010
2003-03-01,81.787390000000002
2003-04-01,82.275669999999991
2003-05-01,82.462950000000006
2003-06-01,83.158469999999994
2003-07-01,82.546440000000004
2003-08-01,82.210119999999989
2003-09-01,82.353560000000002
2003-10-01,82.627589999999998
2003-11-01,82.045880000000011
2003-12-01,83.606219999999993
2004-01-01,82.342830000000006
2004-02-01,82.700780000000023
2004-03-01,84.505809999999997
2004-04-01,84.384709999999998
2004-05-01,84.066090000000003
2004-06-01,84.675130000000010
2004-07-01,84.812309999999997
2004-08-01,85.065619999999996
2004-09-01,84.363330000000005
2004-10-01,84.366069999999993
2004-11-01,84.404409999999999
2004-12-01,85.580530000000010
2005-01-01,85.012969999999996
2005-02-01,85.902230000000003
2005-03-01,85.113730000000004
2005-04-01,85.354990000000001
2005-05-01,85.912430000000001
2005-06-01,84.302710000000005
2005-07-01,84.746809999999996
2005-08-01,85.981380000000001
2005-09-01,87.471789999999999
2005-10-01,88.226489999999998
2005-11-01,88.797569999999993
2005-12-01,89.730609999999999
2006-01-01,90.487679999999997
2006-02-01,89.689990000000023
2006-03-01,89.951390000000004
2006-04-01,90.065619999999996
2006-05-01,91.697230000000005
2006-06-01,91.852090000000004
2006-07-01,91.949029999999993
2006-08-01,90.761790000000005
2006-09-01,90.645589999999999
2006-10-01,90.914890000000000
2006-11-01,91.525120000000001
2006-12-01,90.536980000000000
2007-01-01,90.476330000000004
2007-02-01,90.500649999999993
2007-03-01,91.972070000000002
2007-04-01,91.892169999999993
2007-05-01,92.327520000000007
2007-06-01,92.083089999999999
2007-07-01,91.706900000000005
2007-08-01,91.799170000000004
2007-09-01,90.587050000000005
2007-10-01,90.538679999999999
2007-11-01,89.488619999999997
2007-12-01,88.791440000000023
2008-01-01,90.405980000000000
2008-02-01,91.256680000000003
2008-03-01,90.332310000000007
2008-04-01,90.861459999999994
2008-05-01,89.919609999999977
